name;eva
A S Eidelstedt Hamburg;184051
AIRBUS (Schiffsanleger) Hamburg;693430
ALB-GOLD Trochtelfingen;750630
AOK Lindau (Bodensee);990099
AST-Zielgebiet Ahlen;904095
AST-Zielgebiet Bad Sassendorf;905417
AST-Zielgebiet Soest;904680
Aachen Hbf;8000001
Aachen Schanz;8070704
Aachen Süd (Gr);8000403
Aachen West;8000404
Aachen-Rothe Erde;8000406
Aalen;8000002
Aalhoop Beldorf;698202
Abenden;8007826
Abensberg;8000410
Abwinkl (Schiff) Bad Wiessee;966966
Abwinkl Bad Wiessee;592926
Abzw Bahnhof Burgkunstadt;127529
Abzw Bahnhof Frellstedt;886685
Abzw Bahnhof Fritzlar;712166
Abzw Bahnhof Haiger;416156
Abzw Bahnhof Iffeldorf;590675
Abzw Bahnhof Naila;546256
Abzw Bahnhof Oberaudorf;591090
Abzw Bahnhof Osterhofen;543332
Abzw Bahnhof Roigheim;421036
Abzw Bahnhof Stammbach;462561
Abzw Bahnhof Strullendorf;464580
Abzw Bahnhof Sünching;786055
Abzw Bahnhof Tapfheim;363587
Abzw Döhlau Weidenberg;463103
Abzw Kampen Otterndorf;361805
Abzw Wiesenfeld Burgwald;715554
Abzw Wohnsiedlung Bernau bei Berlin;739601
Achalmstraße Holzgerlingen;363244
Achern;8000412
Achern Stadt;8007001
Achim;8000413
Achkarren;8007291
Achkarren Bahnhof Vogtsburg im Kaiserstuhl;377797
Achmer;8000414
Achterwehr;8000416
Adelebsen;8000418
Adelschlag;8000419
Adelsdorf (Mittelfr);8000420
Adelsdorf Bahnhof Neuhof a d Zenn;682886
Adelsheim Nord;8000423
Adelsheim Ost;8000424
Adenauerallee/Bahnhof Itzehoe;700549
Adorf (Erzgeb);8011002
Adorf (Vogtl);8010001
Adorf Haltepunkt Neukirchen/Erzgeb;983865
Affaltrach;8000431
Agatharied;8000433
Agatharied Hausham;593042
Agathenburg;8000434
Aglasterhausen;8007445
Aha;8000436
Aha Gh Auerhahn Schluchsee;503223
Ahaus;8000437
Ahlbeck Bahnhof Heringsdorf (Usedom);331063
Ahlbeck Grenze;8079084
Ahlbeck Ostseetherme;8087025
Ahlbeck Saarstraße Heringsdorf (Usedom);331064
Ahlen (Westf);8000441
Ahlhorn;8000442
Ahlhorn Bahnhof Großenkneten;602910
Ahlten;8000443
Ahlten Bahnhof Lehrte;616390
Ahnatal Casselbreite;8000457
Ahnatal-Heckershausen;8002675
Ahnatal-Weimar;8006286
Ahrbrück;8001209
Ahrensburg;8000446
Ahrensburg-Gartenholz;8000480
Ahrensfelde;8011003
Ahrensfelde (Bz Bremen);8071338
Ahrensfelde Friedhof;8011004
Ahrensfelde Kirche;8071844
Ahrensfelde Kirche Ahrensfelde-Blumberg;738905
Ahrensfelde Kirschenallee;8071842
Ahrensfelde Kirschenallee Ahrensfelde-Blumberg;727591
Ahrensfelde Nord;8011005
Ahrweiler;8000448
Ahrweiler Ahrtor Bad Neuenahr-Ahrweiler;459956
Ahrweiler Bahnhof Bad Neuenahr-Ahrweiler;458540
Ahrweiler Markt;8000449
Ahrweiler Marktbahnhof Bad Neuenahr-Ahrweiler;458617
Aich (Niederbay);8000451
Aichach;8000452
Aichstetten;8000454
Aindorf;8072132
Aindorf Pittenhart;594927
Ainring;8000459
Ainring-Mitterfelden Abzw B20;8081968
Albachten Bahnhof Münster (Westf);906884
Albbruck;8000463
Albersdorf;8000464
Albersweiler (Pfalz);8000466
Albgaubad Ettlingen;373658
Albig;8000468
Albisheim (Pfrimm);8070252
Albrechtshaus;8017000
Albrechtshof;8080040
Albrechtshof Bahnhof Berlin;731293
Albshausen;8000471
Albshausen Bahnhof Solms;111123
Albsheim (Eis);8070096
Albstadt-Ebingen;8000473
Albstadt-Ebingen West;8079089
Albstadt-Laufen Ort;8000474
Albstadt-Lautlingen;8000475
Albtalbahnhof Karlsruhe;301201
Aldekerk;8000477
Aldekerk Bahnhof Gleis 2 Kerken;136113
Aldekerk Bahnhof Kerken;587958
Aldingen (b Spaichingen);8000481
Aletshausen;8000482
Alexander-Fleming-Straße Lübeck;699013
Alexanderplatz [Bus] (U) Berlin;728658
Alexanderplatz [Tram] (U) Berlin;732535
Alexisbad;8017001
Alexisbad Bahnhof (Bus) Harzgerode;954881
Alfeld (Leine);8000483
Alfter-Impekoven;8000495
Algermissen;8000488
Aligse;8000489
Aligse Bahnhof Lehrte;638218
Alken KD;8075979
Allach Bahnhof Ost München;621750
Allach München;364930
Allee-Center Süd Leipzig;964134
Allenbach Bahnhofsvorplatz Hilchenbach;483346
Allendorf (Dillkr);8000492
Allensbach;8000496
Allerheiligen Neuss;362727
Allerheiligen S-Bahnhof Neuss;650699
Allersberg (Rothsee);8000498
Allmendingen;8000499
Allmendshofen Donaueschingen;501238
Alpen;8000500
Alpgarten Bayerisch Gmain;592106
Alpirsbach;8000501
Alsbach Bahnhof Alsbach-Hähnlein;111252
Alsdorf (Westerw);8007078
Alsdorf Poststraße;8000510
Alsdorf-Annapark;8000502
Alsdorf-Busch;8000507
Alsdorf-Kellersberg;8000521
Alsdorf-Mariadorf;8000527
Alsenz;8000505
Alsfeld (Oberhess);8000350
Alsheim;8000506
Alsheim Rathaus;8070871
Alt Center Chemnitz;330532
Alt Hüttendorf;8011011
Alt Rosenthal;8011014
Alt Schwerin;8011015
Alt-Buch Berlin;732867
Alt-Buch/Wiltbergstr Berlin;732862
Alt-Kladow Berlin;731327
Altbach;8000508
Altchemnitz Chemnitz;330029
Altdorf (Niederbay);8026354
Altdorf (b Nürnberg);8000509
Altdorf West;8000504
Altdöbern;8011016
Altdöbern Am Markt;8071406
Alte Brücke Heidelberg;301139
Alte Liebe (Bus) Cuxhaven;360003
Alte Römerstraße Rheinzabern;301743
Alte Veste;8000511
Altefähr;8011017
Altena (Westf);8000513
